Name,Latitude,Longitude,Air conditioning,Housekeeping,Private balcony,Private bathrooms,VIP room facilities,Complimentary toiletries,Room service,Telephone,Minibar,Flatscreen TV,Wifi,Pool,Bar / lounge,Poolside bar,Free parking,Breakfast available,Restaurant,Airport transportation,Car hire,Taxi service,Banquet room,Meeting rooms,Conference facilities,Spa,Sauna,Currency exchange,24-hour security,Concierge,Baggage storage,Sun terrace,Shops,Butler service,First aid kit,Infirmary,24-hour front desk,Private check-in / check-out,Express check-in / check-out,Dry cleaning,Laundry service,Shoeshine,Ocean view,City view,Landmark view,Pool view,Non-smoking rooms,Smoking rooms available,Suites,Rating,Number of reviews,Price,Distance Score,Review Score
Regenta Place By Royal Orchid Hotels,12.984304428100586,77.60051727294922,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,4.0,"1,010",1140.82,500.15000000000003,8.91
Golden Palms Hotel & Spa,13.089165687561035,77.44371032714844,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,3.5,672,3757.42,0.0,8.16
The Pride Hotel,12.964781761169435,77.59968566894531,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,4.5,"1,322",3919.1,482.2,9.47
Fiestaa Resort-n-Events Venue,13.159947395324707,77.68017578125,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,4.0,65,2716.56,13.379999999999999,5.14
Clarks Exotica Convention Resort & Spa,13.206806182861328,77.63386535644531,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,4.5,"2,532",7235.24,10.54,9.5
The Chancery,12.97568416595459,77.59934997558594,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,3.5,460,2045.92,491.02000000000004,7.71
Goldfinch Bengaluru,12.985379219055176,77.57937622070312,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,4.0,404,3638.88,459.84000000000003,8.01
The Signature Inn,12.973066329956055,77.57049560546875,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.0,231,999.0,444.07,7.02
Fountain Tree by TGI,12.910574913024902,77.59933471679688,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,4.5,42,2244.58,325.23999999999995,5.27
Regenta Inn Airport Road Bangaluru,13.19168472290039,77.64569091796875,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,3.5,113,2406.2,23.92,5.32
"The Oberoi, Bengaluru",12.973455429077148,77.61819458007812,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,5.0,"3,237",8400.0,479.96000000000004,10.0
DoubleTree Suites By Hilton Bangalore,12.919333457946776,77.6650390625,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,4.5,"1,919",4410.0,140.47,9.5
"Vivanta Bengaluru, Whitefield",12.986804008483887,77.7375259399414,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,4.5,"1,501",4200.0,57.07,9.49
Keys Select Hotel Hosur Road,12.87978458404541,77.64620208740234,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,4.5,"1,760",1511.85,80.42,9.5
Palm Meadows Club,12.964052200317385,77.73954772949219,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,4.5,364,5600.0,52.14,8.33
Gokulam Grand Hotel & Spa,13.042033195495605,77.55475616455078,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,4.5,"2,154",2894.08,202.04000000000002,9.5
Sarovar Portico Outer Ring Road Bengaluru,12.981152534484865,77.69300079345703,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,4.5,266,1986.42,130.25,7.77
Hilton Bangalore Embassy GolfLinks,12.948434829711914,77.64554595947266,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,5.0,"2,332",5880.0,362.6,10.0
Casa Cottage,12.964365005493164,77.6042251586914,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.5,524,2148.82,482.2,8.89
Grand Mercure Bangalore,12.928933143615724,77.62777709960938,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,4.5,856,3920.0,396.05999999999995,9.34
ibis Bengaluru Outer Ring Road Hotel,12.92967414855957,77.6833267211914,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,4.5,"2,311",2240.0,115.33000000000001,9.5
The Den,12.987722396850586,77.7335433959961,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,5.0,461,5999.0,57.07,9.21
Shangri-La Hotel Bengaluru,12.992254257202148,77.58837890625,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,4.5,"1,393",8400.0,459.89000000000004,9.48
Signature Club Resort,13.228004455566404,77.72061920166016,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,4.0,175,4868.86,13.379999999999999,6.52
Treebo Trend Daffodil Suites,13.02476978302002,77.64148712158203,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,4.5,98,1763.63,291.50999999999993,6.12
Chairman's Resort,13.204873085021973,77.64545440673828,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,4.0,320,3808.4,17.13,7.61
Ramanashree California Resort Bangalore,13.11453342437744,77.57780456542969,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,3.5,327,2156.62,19.22,7.15
OYO 554 Hotel Red Carpet Residence,12.97520923614502,77.61568450927734,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,4.5,44,1708.64,498.37,5.31
Hotel Vellara,12.96701431274414,77.60665130615234,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,4.5,174,1659.38,487.62,7.01
Chevron Brigade,12.97028636932373,77.60894775390625,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,3.0,42,1951.54,496.5400000000001,3.77
"Taj MG Road, Bengaluru",12.973359107971193,77.61992645263672,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,4.5,"2,320",4792.11,479.96000000000004,9.5
Shangri-La Hotel Bengaluru,12.992254257202148,77.58837890625,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,4.5,"1,393",8400.0,459.89000000000004,9.48
Ginger Bangalore (Whitefield),12.97679042816162,77.7184829711914,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,4.5,699,2910.88,75.41,9.19
Ibis Bengaluru City Centre Hotel,12.967448234558105,77.59390258789062,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,4.5,"1,087",2574.88,476.27,9.44
Courtyard Bengaluru Outer Ring Road,12.928110122680664,77.68241882324219,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,5.0,"2,333",4661.0,115.33000000000001,10.0
Adarsh Hamilton,12.964421272277832,77.59835052490234,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,4.5,"1,411",12168.0,482.2,9.48
Hyatt Centric MG Road Bangalore,12.973201751708984,77.62181091308594,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,4.5,588,3583.33,481.70000000000005,9.02
Bengaluru Marriott Hotel Whitefield,12.979323387145994,77.7281723022461,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,5.0,"2,538",8260.0,57.07,10.0
Citrus Cunningham,12.98610782623291,77.595458984375,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,4.5,546,4042.74,494.21000000000004,8.94
Wonderla Resort,12.838000297546387,77.40194702148438,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,4.5,328,3057.12,17.29,8.15
Our Native Village,13.17983341217041,77.46900177001953,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.0,445,6708.77,0.0,8.16
Zip by Spree Hotels at the Woodrose,12.892678260803224,77.58285522460938,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,4.5,194,2867.97,188.19,7.2
Iris - The Business Hotel and Spa,12.970783233642578,77.60700225830078,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,4.5,"1,164",2504.58,492.55,9.45
"Country Inn & Suites by Radisson, Bengaluru Hebbal Road",13.041732788085938,77.61312866210938,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,4.0,486,3246.88,308.67999999999995,8.28
Holiday Inn Bengaluru Racecourse,12.980414390563965,77.5777359008789,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,4.0,208,6944.0,459.84000000000003,6.82
Holiday Inn Express Bengaluru Yeshwantpur,13.02797031402588,77.54119110107422,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,4.5,96,2687.16,204.39000000000001,6.09
Daffodil Delight,13.035406112670898,77.63074493408203,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,5.0,70,1624.0,279.47999999999996,6.22
Svenska Design Hotel,12.839326858520508,77.6592025756836,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,4.5,490,2671.63,4.79,8.8
Attide Hotel,13.079453468322756,77.59271240234375,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,4.5,197,2821.73,30.78,7.23
JP Cordial,12.979227066040039,77.57466888427734,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,4.5,264,2508.68,448.57,7.76
Tulip Inn Bangalore,12.999216079711914,77.5836410522461,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,4.5,143,2772.96,459.89000000000004,6.68
Collection O 42670 Grand Continent,12.91175365447998,77.5991439819336,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,4.0,119,1233.78,340.12999999999994,5.89
Treebo Trip Shivas Kuteera,12.912287712097168,77.644287109375,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,15,1876.65,192.95999999999998,4.79
Comfort Inn Insys,13.028176307678224,77.55890655517578,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,4.0,54,3000.0,300.4699999999999,4.97
Renaissance Bengaluru Race Course Hotel,12.98393726348877,77.57640838623047,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,5.0,672,4956.0,454.62,9.66
Sheraton Grand Bangalore Hotel at Brigade Gateway,13.012572288513185,77.55509185791016,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,5.0,"2,503",7788.0,372.93,10.0
Four Seasons Hotel Bengaluru,13.01958179473877,77.58526611328125,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,5.0,143,8164.8,379.49999999999994,7.18
Novotel Bengaluru Outer Ring Road,12.929679870605467,77.6833267211914,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,4.5,"1,805",3696.0,115.33000000000001,9.5
Aloft Bengaluru Cessna Business Park,12.936824798583984,77.69505310058594,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,5.0,"2,501",3717.0,108.22999999999999,10.0
Hotel Swagath,12.973770141601562,77.57577514648438,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,4.5,528,2228.8,456.02,8.9
Fortune Select Trinity,12.977380752563475,77.71446228027344,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,4.0,603,2399.04,75.41,8.55
The Paul Bangalore,12.953731536865234,77.63944244384766,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,4.5,"1,357",9804.7,434.89000000000004,9.48
Sheraton Grand Bengaluru Whitefield Hotel & Convention Center,12.98934841156006,77.7300033569336,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,5.0,"1,114",7965.0,57.07,9.94
Courtyard by Marriott Bengaluru Hebbal,13.042871475219727,77.60958862304688,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,5.0,582,6608.0,299.37999999999994,9.51
The Oterra,12.850136756896973,77.66020202636719,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,4.5,"1,595",6720.0,9.129999999999999,9.49
Fairfield by Marriott Bengaluru Outer Ring Road,12.927511215209961,77.68264770507812,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,5.0,"1,687",4543.0,110.4,9.99
Springs Hotel & Spa,12.956613540649414,77.5835189819336,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,4.0,297,2197.84,486.53,7.48
Purple Lotus,12.971757888793945,77.59979248046875,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.5,269,3281.14,487.62,7.8
Airport Regency,13.177727699279785,77.65262603759766,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,4.5,4,1540.16,23.92,4.58
"Four Points by Sheraton Bengaluru, Whitefield",12.979419708251953,77.75177764892578,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,5.0,"1,398",5936.0,38.02,9.98
