Name,Latitude,Longitude,Review Count,Review Score,Category Id,Category Type,Attraction Score
Shree Ram Arcade,22.56447,88.35121,12,3.5,26,Shopping,3.73
M P Birla Planetarium,22.55218,88.34957,8,5.0,49,Museums,5.16
Forum Courtyard,22.538519,88.351425,59,4.0,26,Shopping,5.05
Metropolis Mall,22.55787,88.41214000000001,22,3.0,26,Shopping,3.42
Armenian Holy Church Of Nazareth,22.579079999999998,88.35521,18,4.0,47,Sights and Landmarks,4.35
Rabindra Tirtha,22.61957,88.43679,7,4.5,47,Sights and Landmarks,4.64
Kolkata Centre for Creativity,22.51499,88.40136,5,4.5,49;26,Museums;Shopping,4.6
Artsacre Museum of Bengal Modern Art,22.633589999999998,88.46200999999999,9,4.0,49;26,Museums;Shopping,4.18
Gurudwara Sant Kutiya,22.53975,88.34415,4,4.5,47,Sights and Landmarks,4.58
Hatibagan Market,22.60406,88.3753,13,4.0,26,Shopping,4.25
Dacca Kali Bari,22.50293,88.34824,12,4.5,47,Sights and Landmarks,4.73
Nature Park,22.5184,88.29491999999999,9,4.0,57,Nature and Parks,4.18
Marble Palace,22.58277,88.35904000000001,27,4.0,47,Sights and Landmarks,4.51
East Bengal Ground,22.561172,88.3464,23,4.0,47,Sights and Landmarks,4.44
Sabarna Sangrahashala,22.486279999999997,88.31531,10,4.0,49,Museums,4.2
Star Theatre,22.58061,88.3659,10,4.0,58,Concerts and Shows,4.2
Loknath Temple,22.48798,88.31545,6,3.5,47,Sights and Landmarks,3.62
Sishu Bhavan,22.54203,88.36364,9,4.5,47,Sights and Landmarks,4.68
Barddhaman Maharaja Palace,22.539720000000003,88.32343,9,4.0,47,Sights and Landmarks,4.18
Allen Park,22.550278,88.35451,4,3.5,57,Nature and Parks,3.58
