Name,Latitude,Longitude,Review Count,Review Score,Category Id,Category Type,Attraction Score
"Plaza Premium Lounge, Terminal 1D Domestic Departures - Airside",28.556162,77.09996,203,3.5,60,Traveller Resources,6.28
Metro Walk Mall,28.724192,77.11374,116,4.0,26,Shopping,5.86
Sai Baba Temple,28.585420000000006,77.22971,251,4.5,47,Sights and Landmarks,7.67
Jantar Mantar,28.626945000000006,77.21661999999998,704,4.0,49,Museums,8.7
Gyarah Murti,28.610088,77.19153,70,4.5,47,Sights and Landmarks,5.72
Vijay Chowk,28.614813,77.20689399999998,74,4.5,47,Sights and Landmarks,5.78
South Extension Market,28.56907,77.21911,53,4.0,26,Shopping,4.96
Parliament House,28.628390000000003,77.21654000000002,533,4.0,47,Sights and Landmarks,8.41
Mangal Mahadev Birla Kanan,28.535557,77.11258000000002,15,4.5,47,Sights and Landmarks,4.79
Moments Mall,28.656832,77.146385,49,4.0,26,Shopping,4.89
Gali Paranthe Wali,28.655993,77.23044,283,3.5,47,Sights and Landmarks,6.89
Hauz Khas District Park,28.553486,77.19366,45,4.0,57,Nature and Parks,4.82
Atlantic water world,28.545690000000004,77.30951,40,4.0,52,Water and Amusement Parks,4.74
Nehru Museum & Planetarium (Teen Murti Bhavan),28.602940000000004,77.20195,158,4.0,49;47,Museums;Sights and Landmarks,6.34
Jamali Kamali Tomb and Mosque,28.519667,77.18726,56,4.0,47,Sights and Landmarks,5.0
Tughlaqabad Fort,28.514292,77.26012,127,4.0,47,Sights and Landmarks,5.99
Isa Khan's Tomb,28.592293,77.24620999999998,137,4.0,47,Sights and Landmarks,6.11
Major Dhyan Chand National Stadium,28.6099,77.22986,32,4.5,47,Sights and Landmarks,5.1
Pragati Maidan,28.611237,77.24009000000002,47,4.0,60,Traveller Resources,4.86
Habitat World Convention Centre,28.588873,77.2254,405,4.5,60,Traveller Resources,8.51
Greater Kailash M Block,28.551064,77.23491999999997,186,4.0,47,Sights and Landmarks,6.62
Just Chill Water Park,28.690240000000006,77.19243,40,3.0,52,Water and Amusement Parks,3.74
Sangam Courtyard,28.572370000000006,77.17345999999998,26,4.5,47,Sights and Landmarks,4.99
Iron Pillar of Delhi,28.52476,77.18493000000002,72,4.0,47,Sights and Landmarks,5.25
Mirza Ghalib Ki Haveli,28.654432,77.22569,34,4.0,49,Museums,4.64
Ansal Plaza,28.562756,77.22431,58,3.5,26,Shopping,4.54
Jhandewalan Temple,28.64922,77.18478,110,4.5,47,Sights and Landmarks,6.28
Sacred Heart Cathedral,28.628042,77.2067,44,4.5,47,Sights and Landmarks,5.31
Sri Digambar Jain Lal Mandir,28.70361,77.1464,141,4.0,47,Sights and Landmarks,6.16
Unity One,28.628767,77.07636,35,4.0,26,Shopping,4.65
Sanskriti Museum of Everyday Art,28.485365,77.12826,36,4.5,49,Museums,5.17
Shankar's International Dolls Museum,28.630419,77.24145,165,4.0,49,Museums,6.42
Siri Fort,28.549973,77.22115,35,4.0,47,Sights and Landmarks,4.65
Lahori Gate,28.655836,77.2387,51,4.0,47,Sights and Landmarks,4.92
Feroz Shah Kotla,28.63501,77.24277,61,4.0,47,Sights and Landmarks,5.08
Ahinsa Sthal,28.51087,77.18135,25,4.5,47,Sights and Landmarks,4.98
Vasant Square Mall,28.52464,77.16008000000002,34,3.5,26,Shopping,4.14
Kashmere Gate Monument,28.666613,77.22933,19,4.0,47,Sights and Landmarks,4.37
National Philatelic Museum,28.62275,77.21328000000003,26,4.5,49,Museums,4.99
Ramakrishna Mission,28.63683,77.20666,71,4.5,47,Sights and Landmarks,5.74
Shanti Van,28.64651,77.25461,23,4.0,57,Nature and Parks,4.44
Hanuman Temple,28.62643,77.2262,52,4.0,47,Sights and Landmarks,4.94
Lodhi Art District,28.60102,77.22724000000002,13,4.0,47,Sights and Landmarks,4.25
National Handicrafts and Handlooms Museum,28.613740000000004,77.24235,30,4.0,49,Museums,4.57
