Name,Latitude,Longitude,Review Count,Review Score,Category Id,Category Type
Mumba Devi Temple,18.95303,72.83033,228,4.0,47,Sights and Landmarks
Churchgate Railway Station,18.93365,72.82743,559,4.0,47,Sights and Landmarks
Chowpatty Beach,18.955,72.81112,818,3.5,57;61,Nature and Parks;Outdoor Activities
Jogger's Park,19.06602,72.82314,96,4.0,57,Nature and Parks
Chor Bazaar,18.9474,72.83527,141,4.0,26,Shopping
Willingdon Sports Club,18.976692,72.815315,104,4.5,56,Fun and Games
Bandra Fort,19.05166,72.82293,201,4.0,47,Sights and Landmarks
Gorai Beach,19.23749,72.78214,177,3.5,57;61,Nature and Parks;Outdoor Activities
Bhau Daji Lad Museum,18.978998,72.8347,206,4.0,49,Museums
Mumbai Zoo (Veermata Jijabai Udyan),19.1318,72.9005,199,3.0,48;57;61,Zoos and Aquariums;Nature and Parks;Outdoor Activities
Haji Ali Mosque,18.982506,72.80893,1432,4.0,47,Sights and Landmarks
Aarey Colony,19.1667,72.8404,76,4.0,57,Nature and Parks
Bandstand Promenade,19.047592,72.819885,234,4.0,47,Sights and Landmarks
Banganga,18.95087,72.80204,139,4.0,47,Sights and Landmarks
Hanging Gardens (Ferozeshah Mehta),18.956692,72.80488,533,3.5,57,Nature and Parks
Amarsons Garden,18.9684,72.80363,27,4.5,57,Nature and Parks
Girgaum Chowpatty,18.953798,72.813965,128,4.0,57;61,Nature and Parks;Outdoor Activities
Powai Lake,19.126839,72.9062,284,3.5,57,Nature and Parks
Sri Sri Radha Rasabihari Ji Temple,19.13849,72.82566,308,4.5,47,Sights and Landmarks
Jio Garden,,,15,4.5,57,Nature and Parks
Loyalty Lounge,19.097261,72.87503,201,3.0,60,Traveller Resources
Boot House,18.95302,72.80111,35,3.5,47,Sights and Landmarks
Taraporewala Aquarium,18.94913,72.81997,355,3.0,48;57,Zoos and Aquariums;Nature and Parks
St. Thomas Cathedral Mumbai,18.93188,72.83367,137,4.5,47,Sights and Landmarks
Hedavde Mahalaxmi Temple,19.507206,72.900406,121,4.5,47,Sights and Landmarks
Rajabai Clock Tower,18.92973,72.82994,295,4.0,47,Sights and Landmarks
Snow World Mumbai,19.086561,72.88868,145,3.5,52,Water and Amusement Parks
Royal Opera House,18.956244,72.81568,62,4.0,58,Concerts and Shows
Uttan Beach,19.3005,72.84803,33,4.0,57;61,Nature and Parks;Outdoor Activities
Mangaldas Market,18.94767,72.83169,61,4.0,26,Shopping
Andharban,,,12,4.5,47,Sights and Landmarks
Kala Ghoda Art Precinct,19.16323,72.84114,52,4.5,47,Sights and Landmarks
Maharashtra Nature Park,19.05148,72.85861,34,4.0,57,Nature and Parks
Tejas Express,,,66,3.5,59,Transportation
Raj Bhavan,18.94512,72.79409,15,4.5,47,Sights and Landmarks
National Centre for the Performing Arts,18.92512,72.82056,116,4.5,58,Concerts and Shows
Keneseth Eliyahoo Synagogue,18.92824,72.83288,45,4.0,47,Sights and Landmarks
Nehru Centre,19.0003,72.8161,58,4.0,49,Museums
Versova Beach,19.13842,72.81039,77,3.0,57;61,Nature and Parks;Outdoor Activities
Royal Western India Turf Club,18.98,72.82992,32,4.5,53;56,Casinos and Gambling;Fun and Games
Town Hall (Asiatic Society Library),18.931929,72.83563,71,4.0,60,Traveller Resources
Madh Island,19.140587,72.79146,78,3.5,57;61,Nature and Parks;Outdoor Activities
Mumbai G.P.O,18.97277,72.83987,49,4.5,47,Sights and Landmarks
Brihanmumbai Municipal Corporation building,18.939993,72.834694,57,4.5,47,Sights and Landmarks
Matunga Market,19.026794,72.85073,32,4.0,26,Shopping
Vardhman Fantasy,19.289413,72.86688,90,3.0,52,Water and Amusement Parks
Ambreshwar Shiva Temple,19.19865,73.17662,21,4.5,47,Sights and Landmarks
The Great Escape Water Park,19.450432,72.94466,55,3.5,52,Water and Amusement Parks
Horniman Circle Garden,18.93171,72.8342,62,4.0,57,Nature and Parks
Atria Mall,18.991274,72.81439,54,3.0,26,Shopping
St. Michael's Church,19.04314,72.84428,60,4.5,47,Sights and Landmarks
Bhavan's Nature and Adventure Centre,19.10602,72.84145,17,4.5,57,Nature and Parks
Andheri Market,19.12279,72.84466,27,4.0,26,Shopping
Flora Fountain,18.92549,72.83197,214,4.0,47,Sights and Landmarks
National Gallery of Modern Art,18.925959,72.83139,62,3.5,49,Museums
National Museum of Indian Cinema,18.97075,72.80828,14,4.5,49,Museums
Mahatma Jyotiba Phule Market,19.0848,72.90424,85,4.0,36;26;47,Food and Drink;Shopping;Sights and Landmarks
PVR Icon,19.14101,72.8304,48,4.5,58,Concerts and Shows
Thiruchembur Murugan Temple,19.06752,72.90259,20,4.5,47,Sights and Landmarks
Yazoo Park,19.46876,72.80846,68,3.5,52,Water and Amusement Parks
BB Dadar Market,19.020653,72.84264,33,4.0,26,Shopping
Bhandup Pumping Station,19.212282,72.96833,18,4.5,57,Nature and Parks
David Sassoon Library and Reading Room,18.92775,72.83107,24,4.0,60;47,Traveller Resources;Sights and Landmarks
Mahakali Caves,19.14972,72.83579,53,3.5,57,Nature and Parks
